username,promedio_sentiment,nombre_tw,location,description,followers_count,geo_location,PARTIDO_COALICION,ENTIDAD,NOMBRE_CANDIDATO,EDAD
liliamerodio,1.0,Lilia Merodio,"Juárez, Chihuahua","Comprometida con nuestro país y nuestra gente. Orgullosamente de Ciudad Juárez, Chihuahua. #CiudadJuárez",27223,False ,VA POR MEXICO,CHIHUAHUA,LILIA GUADALUPE MERODIO REZA,42
loreniavalles,1.0,Lorenia Valles,"Hermosillo, Sonora",Sonorense • Madre y esposa • Obradorista y 4T • Candidata a diputada federal Dtto. 3 Hermosillo Norte • Soy @DiputadosMorena • Escribo en @ElSolHermosillo,6990,True ,JUNTOS HACEMOS HISTORIA,SONORA,LORENIA IVETH VALLES SAMPEDRO,44
luischazaro11,-1.0,Luis E. Cházaro,México,Diputado Federal electo y Coordinador Nacional de Nueva Izquierda. #SomosPRD,32184,True ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,LUIS ANGEL XARIEL ESPINOSA CHAZARO,47
lunaalviso,1.0,Rafael Luna Alviso,"Alcaldía Álvaro Obregón, CDMX",Hola soy Rafael Luna. Profesor de derecho constitucional en la UNAM,713,False ,FUERZA POR MÉXICO,CIUDAD DE MÉXICO,RAFAEL LUNA ALVISO,63
lupixf,1.0,Lupita Flores,"Fresnillo, Zacatecas","#Diputada #LXIILegislatura #Zacatecas,#Fresnillo Directora #Prevención #Godezac,#Política, #MercadólogaPolítica, #Asesora, #Cantante, opiniones personales",3144,True ,FUERZA POR MÉXICO,ZACATECAS,GUADALUPE CELIA FLORES ESCOBEDO,37
memorenooficial,1.0,Maria Elena Moreno,"Nogales, Sonora","Madre de 5, empresaria, y ciudadana proactiva. #Cemefi #SocialmenteResponsable",141,True ,MOVIMIENTO CIUDADANO,SONORA,MARIA ELENA MORENO DURAZO,52
maite_vargasm,1.0,Maite Vargas Meraz,"Chihuahua, México",Comprometida con mi país y el bienestar de los mexicanos. Orgullosamente originaria de Chihuahua. #CentauroParaElMundo 🌎🙋🏻‍♀️,1522,True ,JUNTOS HACEMOS HISTORIA,CHIHUAHUA,TERESITA DE JESUS VARGAS MERAZ,31
martinesp_17,1.0,Juan Martín Espinoza Cárdenas,,"Diputado Federal Distrito 17, Jal. Electo 3 ocasiones Presidente Mpal. de La Manzanilla de la Paz, Jal. “Amar es entregar la vida entera”. #ServirlesDeCorazón",1299,True ,MOVIMIENTO CIUDADANO,JALISCO,JUAN MARTIN ESPINOZA CARDENAS,48
miguelarmentarz,1.0,Miguel Ángel Armenta,"Sonora, México",Administrador Público de profesión. Apasionado y estudioso de la política.  / La verdad es siempre revolucionaria,1414,True ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,MIGUEL ANGEL ARMENTA RAMIREZ,42
mzavalagc,-1.0,Margarita Zavala,México,"Maestra, Abogada, Madre de Familia y Fan del fútbol americano. Primera Mujer Candidata Independiente a la Presidencia de México 🇲🇽 🏈 Fundadora de @MexLibre_",1572883,True ,VA POR MEXICO,CIUDAD DE MÉXICO,MARGARITA ESTER ZAVALA GOMEZ DEL CAMPO,53
