username,Numero_tuits,score,nombre_tw,location,description,followers_count,geo_location,PARTIDO_COALICION,ENTIDAD,NOMBRE_CANDIDATO,EDAD
estheruribes1,1,1.2658227848101267,EstherUribeSoria,Miguel Hidalgo,"🇲🇽 ❤️ Abogada, amante del deporte y la tecnología.",72,False ,REDES SOCIALES PROGRESISTAS,CIUDAD DE MÉXICO,ESTHER URIBE SORIA,26
mona_atp,1,1.2658227848101267,Ramoncita Ramirez Mac Grew,San Luis Rio Colorado Sonora,"Dir. Prim. Luis G Cano Líder Social, Guerrera incansable en favor de los y las ciudadanos, cord. Red de Mujeres en contra de la violencia Mi placer es servir",181,True ,MOVIMIENTO CIUDADANO,SONORA,RAMONA RAMIREZ MAC GREW,49
alexcaminomx,1,1.2658227848101267,"Alejandro ""Alex"" Camino",,Candidato a Diputado Federal por el Distrito 40. Comprometido con la 4T de México. #ElCaminoDeLaEsperanza,53,True ,MORENA,MÉXICO,ALEJANDRO CAMINO CALIXTO,39
jhoniortega,1,1.2658227848101267,Jonathan Ortega,"Nayarit, México",,94,False ,PARTIDO ACCIÓN NACIONAL,NACIONAL,JONATHAN ORTEGA PATRON,21
villarrealric,1,1.2658227848101267,Ricardo Villarreal G,San Miguel Allende,"Abogado ELD, Diputado Federal Presidente de la Comisión de Federalismo y Desarrollo Municipal .",6019,True ,PARTIDO ACCIÓN NACIONAL,GUANAJUATO,RICARDO VILLARREAL GARCIA,40
gabrielabarquet,1,1.2658227848101267,Gabriela Barquet J,"Quintana Roo, México","Con carácter por convicción, decidida, positiva, trabajadora por inclinación; adoro sonreir ante la vida, siempre inicio por mi. Pasión: politica y emprender.",2679,True ,FUERZA POR MÉXICO,QUINTANA ROO,GABRIELA ANDREA BARQUET JUAREZ,36
liliaaguilarmx,1,1.2658227848101267,Lilia Aguilar Gil,México,"Diputada Federal Electa por el Distrito 03 en Ciudad Juárez 👩🏻‍💼Soy una mujer de opinión, progresista impasible e hiperactiva #GraciasPorVotarPT",2815,True ,JUNTOS HACEMOS HISTORIA,CHIHUAHUA,LILIA AGUILAR GIL,43
handal_c,1,1.2658227848101267,Javier Antonio Handal C,"Coahuila de Zaragoza, México",Estudiante de derecho. (UANL)   Político joven comprometido con el cambio en la forma de hacer política en el país 🇲🇽,147,True ,MOVIMIENTO CIUDADANO,COAHUILA,JAVIER ANTONIO HANDAL CASTILLO,21
javierboficial,1,1.2658227848101267,Javier Borrego,"Francisco I. Madero, Coahuila","Nacido en Francisco I. Madero Coahuila, empresario transportista, hijo de padres campesinos.",1092,True ,JUNTOS HACEMOS HISTORIA,COAHUILA,FRANCISCO JAVIER BORREGO ADAME,66
diana_larac,1,1.2658227848101267,Diana Lara,Mexico,"Diputada Federal electa por el Distrito 6 de la CDMX. Comunicóloga, consejera regional del @PAN_CDMX. Columnista en @Central_CM 📞5626194587. #LaVidaEsHoy.",2459,True ,VA POR MEXICO,CIUDAD DE MÉXICO,DIANA MARIA TERESA LARA CARREON,36
clauddelgadillo,1,1.2658227848101267,Claudia Delgadillo,"Guadalajara, Jalisco","Orgullosa tapatía, madre, abogada con más de 20 años de carrera política.",13756,True ,JUNTOS HACEMOS HISTORIA,JALISCO,CLAUDIA DELGADILLO GONZALEZ,48
danielrivasv1,1,1.2658227848101267,Daniel Rivas V,México,"Financiero Itesiano, buena música y temas económicos y políticos de nuestro entorno. Si no arriesgas no ganas.",316,True ,MOVIMIENTO CIUDADANO,NACIONAL,DANIEL RIVAS VALDIVIA,31
alainelopezb,1,1.2658227848101267,Alaine López Briceño,"Mérida, Yucatán","🧡 Yucateca, ciudadana y mamá de Patricio 🍊 Candidata Diputada III Federal en Yucatán",7948,True ,MOVIMIENTO CIUDADANO,YUCATÁN,ALAINE PATRICIA LOPEZ BRICEÑO,34
wencesrealpt,1,1.2658227848101267,Victoriano Wences,"Tlapa de Comonfort, Guerrero.","Ex Pdte. Mpal. de Tlapa de Comonfort, Guerrero, Comisionado Político Nacional #PT #Guerrero. Ex Dip Federal y Local. Partido del Trabajo. Mtro. Administración.",741,False ,JUNTOS HACEMOS HISTORIA,GUERRERO,VICTORIANO WENCES REAL,47
alitomorenoc,1,1.2658227848101267,Alejandro Moreno,Campeche,"Presidente del @PRI_Nacional y de la @COPPPAL_Oficial. Mexicano orgulloso de su patria y de su tierra, priista de toda la vida.",125967,True ,PARTIDO REVOLUCIONARIO INSTITUCIONAL,NACIONAL,RAFAEL ALEJANDRO MORENO CARDENAS,46
chepi_org,1,1.2658227848101267,Azael Santiago Chepi,"Oaxaca, México","Soy un hombre originario de la Sierra Norte de Oaxaca🏔️🗻, Diputado 👨🏾‍🏫 del Distrito Federal 04, con cabecera en Tlacolula de Matamoros.🙋‍♂️",4308,True ,JUNTOS HACEMOS HISTORIA,OAXACA,AZAEL SANTIAGO CHEPI,43
peregrin_nacho,1,1.2658227848101267,NACHO PEREGRIN,Benito Juárez,FB: Nacho Peregrin IG: Nacho Peregrin,1605,True ,JUNTOS HACEMOS HISTORIA,CIUDAD DE MÉXICO,IGNACIO PEREGRIN SCHULL,24
